Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CS320,03/22/16,01:00 PM,03/22/16,02:15 PM,False,,,False
CS320,03/24/16,01:00 PM,03/24/16,02:15 PM,False,,,False
CS320 Disc,03/23/16,12:20 PM,03/23/16,01:10 PM,False,,,False
CS311 Disc,03/23/16,01:25 PM,03/23/16,02:15 PM,False,,,False
CS311,03/22/16,11:30 AM,03/22/16,12:45 PM,False,,,False
CS311,03/24/16,11:30 AM,03/24/16,12:45 PM,False,,,False
CS326,03/22/16,04:00 PM,03/22/16,05:15 PM,False,,,False
CS326,03/24/16,04:00 PM,03/24/16,05:15 PM,False,,,False
JP326,03/22/16,10:00 AM,03/22/16,11:15 AM,False,,,False
JP326,03/24/16,10:00 AM,03/24/16,11:15 AM,False,,,False
JP326 Disc,03/21/16,10:10 AM,03/21/16,11:00 AM,False,,,False
JP326 Disc,03/23/16,10:10 AM,03/23/16,11:00 AM,False,,,False
JP326 Disc,03/25/16,10:10 AM,03/25/16,11:00 AM,False,,,False
CS305,03/21/16,11:15 AM,03/21/16,12:05 PM,False,,,False
CS305,03/23/16,11:15 AM,03/23/16,12:05 PM,False,,,False
CS305,03/25/16,11:15 AM,03/25/16,12:05 PM,False,,,False
